image_path,actual_emotion,predicted_emotion,confidence,success,error
dataset/angry/000010.jpeg,angry,angry,88.25971221923828,True,
dataset/angry/000009.jpg,angry,angry,100.0,True,
dataset/angry/000007.jpg,angry,sad,72.25544738769531,True,
dataset/angry/000006.jpg,angry,surprise,65.9789047241211,True,
dataset/angry/000008.jpeg,angry,fear,55.13640213012695,True,
dataset/angry/000004.jpg,angry,angry,77.7022476196289,True,
dataset/angry/000005.jpg,angry,angry,98.22840118408203,True,
dataset/angry/000001.jpg,angry,neutral,59.75644302368164,True,
dataset/angry/000002.jpg,angry,,0.0,False,No face detected
dataset/angry/000003.jpg,angry,angry,99.98919677734375,True,
dataset/disgust/000008.jpg,disgust,sad,53.97112274169922,True,
dataset/disgust/000002.jpeg,disgust,sad,52.66221618652344,True,
dataset/disgust/000003.jpeg,disgust,neutral,58.75284194946289,True,
dataset/disgust/000007.jpg,disgust,happy,99.98512268066406,True,
dataset/disgust/000010.jpg,disgust,angry,64.38245391845703,True,
dataset/disgust/000004.jpeg,disgust,neutral,78.51158905029297,True,
dataset/disgust/000005.jpeg,disgust,fear,97.25020599365234,True,
dataset/disgust/000001.jpg,disgust,neutral,44.9428825378418,True,
dataset/disgust/000009.jpeg,disgust,neutral,97.78524780273438,True,
dataset/fear/000008.jpg,fear,fear,61.2619743347168,True,
dataset/fear/000009.jpg,fear,neutral,99.95000457763672,True,
dataset/fear/000007.jpg,fear,neutral,79.62750244140625,True,
dataset/fear/000010.jpg,fear,neutral,94.85511779785156,True,
dataset/fear/000005.jpg,fear,fear,69.46753692626953,True,
dataset/fear/000001.jpg,fear,angry,87.2442855834961,True,
dataset/fear/000002.jpg,fear,fear,63.29315948486328,True,
dataset/fear/000003.jpg,fear,happy,59.19916534423828,True,
dataset/happy/000006.jpeg,happy,happy,73.446533203125,True,
dataset/happy/000010.jpeg,happy,fear,99.9144058227539,True,
dataset/happy/000007.jpeg,happy,neutral,97.65864562988281,True,
dataset/happy/000008.jpeg,happy,happy,86.23468780517578,True,
dataset/happy/000004.jpeg,happy,happy,89.328125,True,
dataset/happy/000005.jpeg,happy,neutral,90.03054809570312,True,
dataset/happy/000001.jpg,happy,neutral,99.78047180175781,True,
dataset/happy/000009.jpeg,happy,happy,54.5441780090332,True,
dataset/happy/000002.jpg,happy,happy,99.79187774658203,True,
dataset/happy/000003.jpg,happy,happy,99.86786651611328,True,
dataset/sad/000008.jpg,sad,,0.0,False,No face detected
dataset/sad/000009.jpg,sad,,0.0,False,No face detected
dataset/sad/000007.jpg,sad,,0.0,False,No face detected
dataset/sad/000006.jpg,sad,fear,54.79655838012695,True,
dataset/sad/000010.jpg,sad,happy,66.88844299316406,True,
dataset/sad/000004.jpg,sad,neutral,83.49913787841797,True,
dataset/sad/000005.jpg,sad,sad,89.11534118652344,True,
dataset/sad/000001.jpg,sad,neutral,68.50151062011719,True,
dataset/sad/000002.jpg,sad,,0.0,False,No face detected
dataset/sad/000003.jpg,sad,,0.0,False,No face detected
dataset/surprise/000008.jpg,surprise,surprise,93.88505554199219,True,
dataset/surprise/000007.jpg,surprise,sad,47.01259994506836,True,
dataset/surprise/000006.jpg,surprise,surprise,93.63802337646484,True,
dataset/surprise/000010.jpg,surprise,surprise,92.24002838134766,True,
dataset/surprise/000005.jpg,surprise,surprise,96.3110580444336,True,
dataset/surprise/000001.jpg,surprise,surprise,68.24290466308594,True,
dataset/surprise/000009.jpeg,surprise,neutral,99.24958038330078,True,
dataset/surprise/000003.jpg,surprise,happy,99.99635314941406,True,
dataset/neutral/000008.jpg,neutral,neutral,79.69062805175781,True,
dataset/neutral/000009.jpg,neutral,neutral,29.472658157348633,True,
dataset/neutral/000001.jpeg,neutral,neutral,99.87711334228516,True,
dataset/neutral/000010.jpg,neutral,neutral,97.34786224365234,True,
dataset/neutral/000005.jpg,neutral,sad,59.16988754272461,True,
dataset/neutral/000002.jpg,neutral,neutral,75.53254699707031,True,
dataset/neutral/000003.jpg,neutral,neutral,98.65541076660156,True,
